num,Internetzugang,Sprachgebiet,Haushaltsgrösse,Subjektive finanzielle Situation des Haushalts,Jahr,Absolut / relativ,Resultat
3647712,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2021,Anzahl Haushalte,Wert
31023,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2021,Anzahl Haushalte,Konfidenzintervall +/-
96.2,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2021,Anteil (in % aller Haushalte),Wert
0.8,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
3357387,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2019,Anzahl Haushalte,Wert
41684,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2019,Anzahl Haushalte,Konfidenzintervall +/-
91.6,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2019,Anteil (in % aller Haushalte),Wert
1.1,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
3172677,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2017,Anzahl Haushalte,Wert
47075,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2017,Anzahl Haushalte,Konfidenzintervall +/-
88.6,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2017,Anteil (in % aller Haushalte),Wert
1.3,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
2845823,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2014,Anzahl Haushalte,Wert
47513,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2014,Anzahl Haushalte,Konfidenzintervall +/-
82.6,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2014,Anteil (in % aller Haushalte),Wert
1.4,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation  - Total,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
475512,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2021,Anzahl Haushalte,Wert
