num,Informatiksicherheit,Geschlecht,Altersklasse,Bildungsstand,Jahr,Absolut / relativ,Resultat
4049318,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2021,Anzahl Personen,Wert
121034,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
57.5,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
1.7,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
4227350,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2019,Anzahl Personen,Wert
123688,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2019,Anzahl Personen,Konfidenzintervall +/-
60.9,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2019,Anteil (in % der Gesamtbevölkerung),Wert
1.8,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
4181088,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2017,Anzahl Personen,Wert
120859,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2017,Anzahl Personen,Konfidenzintervall +/-
61,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2017,Anteil (in % der Gesamtbevölkerung),Wert
1.8,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
4264618,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2014,Anzahl Personen,Wert
118248,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2014,Anzahl Personen,Konfidenzintervall +/-
61.6,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2014,Anteil (in % der Gesamtbevölkerung),Wert
1.7,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
247988,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
46565,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
27.1,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
4.5,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
452098,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anzahl Personen,Wert
63473,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
41.7,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
4.7,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
496157,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anzahl Personen,Wert
65755,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
43,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
4.5,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
234867,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anzahl Personen,Wert
51536,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anzahl Personen,Konfidenzintervall +/-
28.3,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Wert
5.3,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1373994,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
99270,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
56.4,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
3,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1510259,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2019,Anzahl Personen,Wert
104179,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
59.1,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
3,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
