num,E-commerce: gekaufte Produkte,Geschlecht,Altersklasse,Bildungsstand,Jahr,Absolut / relativ,Resultat
4696299,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2021,Anzahl Personen,Wert
108114,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
66.6,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
1.5,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
313219,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
51238,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
34.2,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
4.7,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1504856,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
102539,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
61.7,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
2.9,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
